Report Type	Class	Year	Season	Month	State	County	Nearest Town	Time And Conditions	Date	National Park Visitation Count	Witness Count	Multiple Witnesses	BigFoot Hotspot	Forest cover rate	Number of lakes	Total Disasters	City/Suburb/Town/Rural	Unemployment_rate	Civilian labor force
Report	Class A	2005	Winter	November	Alaska	Anchorage	Anchorage / Hillside	Middle of the night. The only light was the headlight from my snowmachine.	12	2296834	2.0	False	FALSE	30.4%	over 2000	0.0	City	5.5	148,840
Report	Class B	2004	Winter	June	Alaska	Anchorage	Anchorage	Started at 11, ended at about 3-3:30. Weather was cold, no clouds, and temp. maybe in the high teens. Visible lighting from moon.	3	2189717	4.0	True	FALSE	30.4%	over 2000	0.0	City	5.9	146,603
Report	Class B	1999	Fall	October	Alaska	Bethel			5	1991864	0.0	False	FALSE	30.4%	over 2000	0.0			
Report	Class B	2005	Summer	May	Alaska	Bristol Bay	Egegik	Approximately 12:30 pm, partially coudy/sunny.	6	2296834	1.0	False	FALSE	30.4%	over 2000	0.0	Rural	5.9	969
Report	Class A	2000	Summer	November	Alaska	Cordova-McCarthy	Kennikot, Alaska	About 12:00 Midnight / full moon / clear / dim blue dusky light because the Alaska summer sun had just gone down about 1 hr prior.	13	2025934	2.0	False	FALSE	30.4%	over 2000	0.0			
Report	Class A	2009	Summer	September	Alaska	Fairbanks	Fairbanks Alaska	around 6pm	17	2278488	0.0	False	FALSE	30.4%	over 2000	1.0	City	7.3	45,971
Report	Class A	1998	Spring	May	Alaska	Fairbanks			31	1991864	1.0	False	FALSE	30.4%	over 2000	0.0			
Report	Class B	2001	Fall	March	Alaska	Fairbanks	Fairbanks	Middle of the night, clear weather, thumbnail moon (not much light), campfire burned out.	19	2014850	1.0	False	FALSE	30.4%	over 2000	0.0	City	5.9	41,459
Report	Class A	1998	Summer	June	Alaska	Fairbanks			15		0.0	False	FALSE	30.4%	over 2000	0.0			
Report	Class A	1997	Fall	December	Alaska	Fairbanks			4		1.0	False	FALSE	30.4%	over 2000	0.0			
Report	Class B	1998	Fall	December	Alaska	Kenai-Cook Inlet		It was still alot of daylight so he got to see a good glimpse of the hairy man as he calls it.	3		1.0	False	FALSE	30.4%	over 2000	0.0			
Report	Class B	2000	Fall	November	Alaska	Matanuska-Susitna	Palmer /  Hatcher Pass	Early morning overcast	5	2025934	2.0	False	FALSE	30.4%	over 2000	0.0	City	7.3	28,896
Report	Class A	1997	Fall	October	Alaska	Matanuska-Susitna			18	1229240	1.0	False	FALSE	30.4%	over 2000	0.0			
Report	Class A	2004	Winter	February	Alaska	Prince of Wales	Hydaburg	11:15 PM??	10	2296834	0.0	False	FALSE	30.4%	over 2000	0.0	Rural		
Report	Class B	2004	Spring	June	Alaska	Prince of Wales	Hollis	It happend in the daytime and if I was to guess it might have been 2 or 3 pm.	4	2055152	2.0	False	FALSE	30.4%	over 2000	0.0	Rural		
Report	Class A	2001	Spring	July	Alaska	Prince of Wales	Hydaburg	It was starting to get dark, we needed the lights because of the trees on both sides of the road. I think it was about 5-6 in the afternoon.	28	1803311	3.0	True	FALSE	30.4%	over 2000	0.0	Rural		
Report	Class B	2009	Fall	February	Alaska	Southeast Fairbanks	Chicken, Alaska	about 0215 hours	8	2403877	1.0	False	FALSE	30.4%	over 2000	1.0	Rural	9.9	3,612
Report	Class A	2008	Spring	April	Alaska	Southeast Fairbanks	Tok	6:45ish pm.  Clear conditions.  Good light.	24	2403877	1.0	False	FALSE	30.4%	over 2000	0.0	Rural	8.5	3,544
